language_1,language_2,similarity,feature_set
eng,fra,0.7526178090063818,phonology_average
eng,deu,0.8362420100070909,phonology_average
eng,spa,0.8581163303210333,phonology_average
eng,ita,0.0,phonology_average
eng,nld,0.0,phonology_average
eng,por,0.0,phonology_average
eng,pol,0.9045340337332909,phonology_average
eng,swe,0.0,phonology_average
eng,dan,0.0,phonology_average
eng,nor,0.762770071396474,phonology_average
eng,fin,0.9090909090909092,phonology_average
eng,ell,0.9534625892455926,phonology_average
eng,ron,0.8528028654224417,phonology_average
eng,mlt,0.0,phonology_average
eng,hun,0.8581163303210333,phonology_average
eng,ces,0.0,phonology_average
eng,slk,0.0,phonology_average
eng,bul,0.9045340337332909,phonology_average
eng,hrv,0.0,phonology_average
eng,lit,0.8528028654224417,phonology_average
eng,lav,0.8581163303210333,phonology_average
eng,est,0.0,phonology_average
eng,isl,0.0,phonology_average
eng,zho,0.7833494518006403,phonology_average
eng,ara,0.7006490497453707,phonology_average
eng,tur,0.8581163303210333,phonology_average
eng,hin,0.8581163303210333,phonology_average
eng,ben,0.8397822097303649,phonology_average
eng,jpn,0.6443860762255926,phonology_average
eng,kor,0.7462025072446364,phonology_average
eng,rus,0.9045340337332909,phonology_average
eng,urd,0.0,phonology_average
eng,vie,0.7833494518006403,phonology_average
eng,tha,0.8181818181818182,phonology_average
eng,ind,0.9090909090909092,phonology_average
eng,fas,0.8181818181818182,phonology_average
fra,deu,0.9230769230769232,phonology_average
fra,spa,0.7016464154456233,phonology_average
fra,ita,0.0,phonology_average
fra,nld,0.0,phonology_average
fra,por,0.0,phonology_average
fra,pol,0.8320502943378436,phonology_average
fra,swe,0.0,phonology_average
fra,dan,0.0,phonology_average
fra,nor,0.7893522173763263,phonology_average
fra,fin,0.8362420100070909,phonology_average
fra,ell,0.7893522173763263,phonology_average
fra,ron,0.7844645405527361,phonology_average
fra,mlt,0.0,phonology_average
fra,hun,0.8770580193070292,phonology_average
fra,ces,0.0,phonology_average
fra,slk,0.0,phonology_average
fra,bul,0.8320502943378436,phonology_average
fra,hrv,0.0,phonology_average
fra,lit,0.784464540552736,phonology_average
fra,lav,0.7893522173763263,phonology_average
fra,est,0.0,phonology_average
fra,isl,0.0,phonology_average
fra,zho,0.7205766921228922,phonology_average
fra,ara,0.787726361443376,phonology_average
fra,tur,0.8770580193070292,phonology_average
fra,hin,0.8770580193070292,phonology_average
fra,ben,0.7724872793364284,phonology_average
fra,jpn,0.7751332793988405,phonology_average
fra,kor,0.588348405414552,phonology_average
fra,rus,0.8320502943378436,phonology_average
fra,urd,0.0,phonology_average
fra,vie,0.6405126152203486,phonology_average
fra,tha,0.6689936080056726,phonology_average
fra,ind,0.7526178090063818,phonology_average
fra,fas,0.8362420100070909,phonology_average
deu,spa,0.7016464154456233,phonology_average
deu,ita,0.0,phonology_average
deu,nld,0.0,phonology_average
deu,por,0.0,phonology_average
deu,pol,0.8320502943378436,phonology_average
deu,swe,0.0,phonology_average
deu,dan,0.0,phonology_average
deu,nor,0.7893522173763263,phonology_average
deu,fin,0.9198662110078,phonology_average
deu,ell,0.7893522173763263,phonology_average
deu,ron,0.7844645405527361,phonology_average
deu,mlt,0.0,phonology_average
deu,hun,0.8770580193070292,phonology_average
deu,ces,0.0,phonology_average
deu,slk,0.0,phonology_average
deu,bul,0.8320502943378436,phonology_average
deu,hrv,0.0,phonology_average
deu,lit,0.784464540552736,phonology_average
deu,lav,0.7893522173763263,phonology_average
deu,est,0.0,phonology_average
deu,isl,0.0,phonology_average
deu,zho,0.8006407690254358,phonology_average
deu,ara,0.787726361443376,phonology_average
deu,tur,0.8770580193070292,phonology_average
deu,hin,0.7893522173763263,phonology_average
deu,ben,0.7724872793364284,phonology_average
deu,jpn,0.7751332793988405,phonology_average
deu,kor,0.686406472983644,phonology_average
deu,rus,0.8320502943378436,phonology_average
deu,urd,0.0,phonology_average
deu,vie,0.7205766921228922,phonology_average
deu,tha,0.7526178090063818,phonology_average
deu,ind,0.8362420100070909,phonology_average
deu,fas,0.8362420100070909,phonology_average
spa,ita,0.0,phonology_average
spa,nld,0.0,phonology_average
spa,por,0.0,phonology_average
spa,pol,0.8432740427115678,phonology_average
spa,swe,0.0,phonology_average
spa,dan,0.0,phonology_average
spa,nor,0.7,phonology_average
spa,fin,0.762770071396474,phonology_average
spa,ell,0.9,phonology_average
spa,ron,0.7826237921249264,phonology_average
spa,mlt,0.0,phonology_average
spa,hun,0.8,phonology_average
spa,ces,0.0,phonology_average
spa,slk,0.0,phonology_average
spa,bul,0.8432740427115678,phonology_average
spa,hrv,0.0,phonology_average
spa,lit,0.7826237921249264,phonology_average
spa,lav,0.8,phonology_average
spa,est,0.0,phonology_average
spa,isl,0.0,phonology_average
spa,zho,0.7302967433402217,phonology_average
spa,ara,0.7348469228349533,phonology_average
spa,tur,0.8,phonology_average
spa,hin,0.8,phonology_average
spa,ben,0.7706746355884524,phonology_average
spa,jpn,0.57186276940104,phonology_average
spa,kor,0.6708203932499369,phonology_average
spa,rus,0.8432740427115678,phonology_average
spa,urd,0.0,phonology_average
spa,vie,0.7302967433402217,phonology_average
spa,tha,0.6674238124719147,phonology_average
spa,ind,0.762770071396474,phonology_average
spa,fas,0.762770071396474,phonology_average
ita,nld,0.0,phonology_average
ita,por,0.0,phonology_average
ita,pol,0.0,phonology_average
ita,swe,0.0,phonology_average
ita,dan,0.0,phonology_average
ita,nor,0.0,phonology_average
ita,fin,0.0,phonology_average
ita,ell,0.0,phonology_average
ita,ron,0.0,phonology_average
ita,mlt,0.0,phonology_average
ita,hun,0.0,phonology_average
ita,ces,0.0,phonology_average
ita,slk,0.0,phonology_average
ita,bul,0.0,phonology_average
ita,hrv,0.0,phonology_average
ita,lit,0.0,phonology_average
ita,lav,0.0,phonology_average
ita,est,0.0,phonology_average
ita,isl,0.0,phonology_average
ita,zho,0.0,phonology_average
ita,ara,0.0,phonology_average
ita,tur,0.0,phonology_average
ita,hin,0.0,phonology_average
ita,ben,0.0,phonology_average
ita,jpn,0.0,phonology_average
ita,kor,0.0,phonology_average
ita,rus,0.0,phonology_average
ita,urd,0.0,phonology_average
ita,vie,0.0,phonology_average
ita,tha,0.0,phonology_average
ita,ind,0.0,phonology_average
ita,fas,0.0,phonology_average
nld,por,0.0,phonology_average
nld,pol,0.0,phonology_average
nld,swe,0.0,phonology_average
nld,dan,0.0,phonology_average
nld,nor,0.0,phonology_average
nld,fin,0.0,phonology_average
nld,ell,0.0,phonology_average
nld,ron,0.0,phonology_average
nld,mlt,0.0,phonology_average
nld,hun,0.0,phonology_average
nld,ces,0.0,phonology_average
nld,slk,0.0,phonology_average
nld,bul,0.0,phonology_average
nld,hrv,0.0,phonology_average
nld,lit,0.0,phonology_average
nld,lav,0.0,phonology_average
nld,est,0.0,phonology_average
nld,isl,0.0,phonology_average
nld,zho,0.0,phonology_average
nld,ara,0.0,phonology_average
nld,tur,0.0,phonology_average
nld,hin,0.0,phonology_average
nld,ben,0.0,phonology_average
nld,jpn,0.0,phonology_average
nld,kor,0.0,phonology_average
nld,rus,0.0,phonology_average
nld,urd,0.0,phonology_average
nld,vie,0.0,phonology_average
nld,tha,0.0,phonology_average
nld,ind,0.0,phonology_average
nld,fas,0.0,phonology_average
por,pol,0.0,phonology_average
por,swe,0.0,phonology_average
por,dan,0.0,phonology_average
por,nor,0.0,phonology_average
por,fin,0.0,phonology_average
por,ell,0.0,phonology_average
por,ron,0.0,phonology_average
por,mlt,0.0,phonology_average
por,hun,0.0,phonology_average
por,ces,0.0,phonology_average
por,slk,0.0,phonology_average
por,bul,0.0,phonology_average
por,hrv,0.0,phonology_average
por,lit,0.0,phonology_average
por,lav,0.0,phonology_average
por,est,0.0,phonology_average
por,isl,0.0,phonology_average
por,zho,0.0,phonology_average
por,ara,0.0,phonology_average
por,tur,0.0,phonology_average
por,hin,0.0,phonology_average
por,ben,0.0,phonology_average
por,jpn,0.0,phonology_average
por,kor,0.0,phonology_average
por,rus,0.0,phonology_average
por,urd,0.0,phonology_average
por,vie,0.0,phonology_average
por,tha,0.0,phonology_average
por,ind,0.0,phonology_average
por,fas,0.0,phonology_average
pol,swe,0.0,phonology_average
pol,dan,0.0,phonology_average
pol,nor,0.8432740427115678,phonology_average
pol,fin,0.9045340337332909,phonology_average
pol,ell,0.9486832980505138,phonology_average
pol,ron,0.9428090415820632,phonology_average
pol,mlt,0.0,phonology_average
pol,hun,0.9486832980505138,phonology_average
pol,ces,0.0,phonology_average
pol,slk,0.0,phonology_average
pol,bul,0.9999999999999998,phonology_average
pol,hrv,0.0,phonology_average
pol,lit,0.9428090415820634,phonology_average
pol,lav,0.9486832980505138,phonology_average
pol,est,0.0,phonology_average
pol,isl,0.0,phonology_average
pol,zho,0.769800358919501,phonology_average
pol,ara,0.7745966692414834,phonology_average
pol,tur,0.9486832980505138,phonology_average
pol,hin,0.9486832980505138,phonology_average
pol,ben,0.9284141650970552,phonology_average
pol,jpn,0.7123956116565482,phonology_average
pol,kor,0.7071067811865475,phonology_average
pol,rus,0.9999999999999998,phonology_average
pol,urd,0.0,phonology_average
pol,vie,0.769800358919501,phonology_average
pol,tha,0.8040302522073697,phonology_average
pol,ind,0.9045340337332909,phonology_average
pol,fas,0.9045340337332909,phonology_average
swe,dan,0.0,phonology_average
swe,nor,0.0,phonology_average
swe,fin,0.0,phonology_average
swe,ell,0.0,phonology_average
swe,ron,0.0,phonology_average
swe,mlt,0.0,phonology_average
swe,hun,0.0,phonology_average
swe,ces,0.0,phonology_average
swe,slk,0.0,phonology_average
swe,bul,0.0,phonology_average
swe,hrv,0.0,phonology_average
swe,lit,0.0,phonology_average
swe,lav,0.0,phonology_average
swe,est,0.0,phonology_average
swe,isl,0.0,phonology_average
swe,zho,0.0,phonology_average
swe,ara,0.0,phonology_average
swe,tur,0.0,phonology_average
swe,hin,0.0,phonology_average
swe,ben,0.0,phonology_average
swe,jpn,0.0,phonology_average
swe,kor,0.0,phonology_average
swe,rus,0.0,phonology_average
swe,urd,0.0,phonology_average
swe,vie,0.0,phonology_average
swe,tha,0.0,phonology_average
swe,ind,0.0,phonology_average
swe,fas,0.0,phonology_average
dan,nor,0.0,phonology_average
dan,fin,0.0,phonology_average
dan,ell,0.0,phonology_average
dan,ron,0.0,phonology_average
dan,mlt,0.0,phonology_average
dan,hun,0.0,phonology_average
dan,ces,0.0,phonology_average
dan,slk,0.0,phonology_average
dan,bul,0.0,phonology_average
dan,hrv,0.0,phonology_average
dan,lit,0.0,phonology_average
dan,lav,0.0,phonology_average
dan,est,0.0,phonology_average
