bg: 65.97% words modified, attack 14
el: 88.28% words modified, attack 14
en: 56.25% words modified, attack 14
es: 75.10% words modified, attack 14
fr: 79.12% words modified, attack 14
th: 137.79% words modified, attack 14
bg: 65.29% words modified, attack 14
el: 88.46% words modified, attack 14
en: 61.38% words modified, attack 14
es: 71.32% words modified, attack 14
fr: 90.09% words modified, attack 14
th: 147.16% words modified, attack 14
bg: 64.92% words modified, attack 14
el: 86.75% words modified, attack 14
en: 50.36% words modified, attack 14
es: 69.94% words modified, attack 14
fr: 74.90% words modified, attack 14
th: 143.29% words modified, attack 14
bg: 63.79% words modified, attack 14
el: 86.90% words modified, attack 14
en: 59.50% words modified, attack 14
es: 72.60% words modified, attack 14
fr: 94.16% words modified, attack 14
th: 118.25% words modified, attack 14
bg: 66.25% words modified, attack 14
el: 87.60% words modified, attack 14
en: 60.01% words modified, attack 14
es: 74.21% words modified, attack 14
fr: 85.01% words modified, attack 14
th: 125.68% words modified, attack 14
bg: 66.13% words modified, attack 14
el: 88.03% words modified, attack 14
en: 57.23% words modified, attack 14
es: 79.84% words modified, attack 14
fr: 89.49% words modified, attack 14
th: 125.22% words modified, attack 14
bg: 64.77% words modified, attack 14
el: 86.53% words modified, attack 14
en: 50.93% words modified, attack 14
es: 71.74% words modified, attack 14
fr: 90.68% words modified, attack 14
th: 154.55% words modified, attack 14
bg: 62.75% words modified, attack 14
el: 88.01% words modified, attack 14
en: 57.22% words modified, attack 14
es: 72.32% words modified, attack 14
fr: 81.61% words modified, attack 14
th: 127.58% words modified, attack 14
bg: 63.20% words modified, attack 14
el: 86.56% words modified, attack 14
en: 57.76% words modified, attack 14
es: 72.70% words modified, attack 14
fr: 95.60% words modified, attack 14
th: 158.10% words modified, attack 14
bg: 66.72% words modified, attack 14
el: 87.87% words modified, attack 14
en: 58.90% words modified, attack 14
es: 70.84% words modified, attack 14
fr: 94.35% words modified, attack 14
th: 125.43% words modified, attack 14
bg: 65.99% words modified, attack 14
el: 85.62% words modified, attack 14
