bg: {'F1@5': 0.15071269511376434, 'F1@10': 0.14581674252542284, 'F1@M': 0.11991481784963373, 'MAP@50': 0.11688345522094566}
hr: {'F1@5': 0.1502922136250074, 'F1@10': 0.15337851456579446, 'F1@M': 0.13938149456031892, 'MAP@50': 0.09229582463252294}
cs: {'F1@5': 0.14329976368800346, 'F1@10': 0.1610655729347141, 'F1@M': 0.14344780192029774, 'MAP@50': 0.10824898012429153}
da: {'F1@5': 0.1388605184064002, 'F1@10': 0.13703080359526898, 'F1@M': 0.11913184787510228, 'MAP@50': 0.11632669206481835}
nl: {'F1@5': 0.15592049250752432, 'F1@10': 0.15421658744693034, 'F1@M': 0.13026402656748326, 'MAP@50': 0.11354567203713181}
et: {'F1@5': 0.0023296703296703295, 'F1@10': 0.002406015037593985, 'F1@M': 0.00373460164686187, 'MAP@50': 0.0011818145720818133}
fi: {'F1@5': 0.13692901257642653, 'F1@10': 0.14417334679854393, 'F1@M': 0.11820540160358592, 'MAP@50': 0.10755922270278266}
fr: {'F1@5': 0.004787751997644198, 'F1@10': 0.004202524383247275, 'F1@M': 0.004272400959147947, 'MAP@50': 0.0024442361361466354}
de: {'F1@5': 0.1307249432748331, 'F1@10': 0.13004653329074925, 'F1@M': 0.1017168886091916, 'MAP@50': 0.10046515192026947}
el: {'F1@5': 0.09302638865521137, 'F1@10': 0.09786315186190805, 'F1@M': 0.08936083546794982, 'MAP@50': 0.06728230385814252}
ga: {'F1@5': 0.11209250006795342, 'F1@10': 0.13555273351826108, 'F1@M': 0.1259221817498617, 'MAP@50': 0.05872233861725478}
it: {'F1@5': 0.014437084441847478, 'F1@10': 0.012794009246610743, 'F1@M': 0.014590563928930078, 'MAP@50': 0.010749892958940932}
lv: {'F1@5': 0.14293403231949983, 'F1@10': 0.14110648109957763, 'F1@M': 0.12635161732422748, 'MAP@50': 0.1029892826190499}
lt: {'F1@5': 0.0962305468881537, 'F1@10': 0.10493741007883894, 'F1@M': 0.10005013498502777, 'MAP@50': 0.05819155828176512}
mt: {'F1@5': 0.10669284815363657, 'F1@10': 0.10746194389237908, 'F1@M': 0.10098913430662819, 'MAP@50': 0.07125507404389322}
pt: {'F1@5': 0.09885586016659494, 'F1@10': 0.09904285303758402, 'F1@M': 0.08415324970825376, 'MAP@50': 0.06658049358183793}
ro: {'F1@5': 0.14950302606822183, 'F1@10': 0.15055441163612002, 'F1@M': 0.1313065152349999, 'MAP@50': 0.10183558931144084}
sk: {'F1@5': 0.1363837517853527, 'F1@10': 0.15120635373321162, 'F1@M': 0.13609396769141524, 'MAP@50': 0.09477341199053188}
sl: {'F1@5': 0.13357160252458955, 'F1@10': 0.14082146997318712, 'F1@M': 0.12313023991000718, 'MAP@50': 0.09654000138736674}
es: {'F1@5': 0.01932585263910565, 'F1@10': 0.018931841346181096, 'F1@M': 0.01768230758034049, 'MAP@50': 0.01697443440463977}
en: {'F1@5': 0.13008496380938853, 'F1@10': 0.12430340988267662, 'F1@M': 0.10106718425940735, 'MAP@50': 0.09682585984349225}
pl: {'F1@5': 0.11540498879825221, 'F1@10': 0.12669971610807296, 'F1@M': 0.10585348798099692, 'MAP@50': 0.08204135775211625}
sv: {'F1@5': 0.14017083390615404, 'F1@10': 0.1352805177296139, 'F1@M': 0.12574260989321157, 'MAP@50': 0.1038850632796753}
hu: {'F1@5': 0.13535389762875005, 'F1@10': 0.13816728602230274, 'F1@M': 0.12411439876229943, 'MAP@50': 0.10059071935607608}
