annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],17 - شراكات من أجل الأهداف
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"Based on the provided text, goal number 11 from the list seems to be most closely related. The text discusses continuing efforts to provide children with complete opportunities for education, which aligns with sustainable development goal 4: Quality Education."
6996de12-9816-4b90-8dcf-c14a5b93b5a6,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"عزم الأهداف المستدامة: 9

""زيادة جهودها الرامية إلى غرس ثقافة حقوق الإنسان في المناهج الدراسية لجميع المراحل التعليمية (البحرين)""

الفئة: 9 - عمل لائق ونمو اقتصادي، أهداف مستدامة."
16fa1ffa-b679-49a7-b3a5-681289bb52e4,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],فئة 13 - العمل المناخي
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"The category with the closest relation to the text is 11 - Sustainable Cities and Communities. The reason for this classification is that the text mentions working on establishing infrastructure to ensure all children have access to free, good quality primary and secondary education (Kyrgyzstan). This aligns with one of the targets under the United Nations' Sustainable Development Goal 11: Make cities and human settlements inclusive, safe, resilient, and sustainable."
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"17 (Sharaka min al-Aghram li-l-Asbab al-Judariya li-Ankhafadh Mudaadalat al-Tahhaq Al-Atfal wa al-Fatehat As-Sagheerat fi Al-Madaris wa al-Mushkilah Al-Ta'addiyah Al-Daresy (Al-Mamlakah Al-'Arabiyah Al-Sa'udiyah))

هذا النص يتضمن محورًا للأعطال في مدارس التعليم العالي (الشكوك التي تعاملها الأطفال والفتيات الصغيرة) والحل لهذه المشكلة هو العمل على مساهمة مجتمعية في حل المشكلة. فهذا يعني الصالح بأنه يتضمن مسؤولية مجتمعية (شركة من أجل الأهداف) ، وذلك هو فئة 17."
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],11 - مدن ومجتمعات مستدامة
9686043d-0d04-4a56-a484-2c6c5d314e0f,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],17 - شراكات من أجل الأهداف. (Rationale: Collaborations are often used to achieve sustainable development goals.)
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"Based on the provided text, goal number 11 ""مدن ومجتمعات مستدامة"" seems to have the closest relevance as it relates to community development, which includes efforts to provide free compulsory education, especially in indigenous areas (as mentioned in the text). However, without additional context or clarification, it's difficult to definitively assign the text to a single category. The other goals on your list also touch upon various aspects of sustainable development, so multiple categories might be applicable to different degrees."
fb1484fa-85f8-4936-8e86-fc26a71af09a,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"17 - شراكات من أجل الأهداف

هذا النص تخص تحسين التعليم والدعم للأسر الفقيرة (Broni Dar as-Salam)، بما في ذلك زيادة مخصصات الميزانية لضمان التعليم الجيد بالمجان وتقديم الدعم للأسر الفقيرة. هذه الأهداف تتصل إلى مجموعة شاملة من الأهداف البيئية (17 - الشراكات من أجل الأهداف) كما يتضمنها التحسين التعليمي، التوظيف الشامل والتعزيز الاقتصادي."
