annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
6996de12-9816-4b90-8dcf-c14a5b93b5a6,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"5 - Gender Equality (This goal emphasizes on promoting educated societies and achieving gender equality, including the integration of human rights education into school curricula)"
16fa1ffa-b679-49a7-b3a5-681289bb52e4,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"13 - CLIMATE ACTION or 4 - QUALITY EDUCATION

Given that the text directly addresses issues related to education (enrolment and school completion), my initial thought is category 4 - Quality Education. However, if we consider that climate change can affect access to education (for instance, natural disasters disrupting schools or causing families to move), it could also somewhat fit in category 13 - Climate Action. It would be best to analyze the specific context and solutions suggested in the text to make a definitive choice."
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
9686043d-0d04-4a56-a484-2c6c5d314e0f,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],5 - Gender Equality (Human rights education can contribute to gender equality and empowering women and girls.)
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
fb1484fa-85f8-4936-8e86-fc26a71af09a,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
118a9525-f1dc-4792-9e14-b6e0b51d9c30,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
abbf6e30-d27f-4e40-8824-de839f5228c2,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
75898c89-a392-48f1-b27f-f5e813b58630,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
ffae0854-d46b-4d3b-92ea-98d280842435,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
64dce61c-5ac0-44c4-b216-d4e79b73f018,en,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - QUALITY EDUCATION
