annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
6996de12-9816-4b90-8dcf-c14a5b93b5a6,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],5 - Education de qualité
16fa1ffa-b679-49a7-b3a5-681289bb52e4,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"13 - Lutte contre les changements climatiques, car bien que le texte évoque l'éducation, il s'agit en fait de la lutte contre une cause profonde de faibles taux d'éducation (les causes étant les changements climatiques) et non de l'éducation elle-même."
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
9686043d-0d04-4a56-a484-2c6c5d314e0f,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
fb1484fa-85f8-4936-8e86-fc26a71af09a,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de Qualité
118a9525-f1dc-4792-9e14-b6e0b51d9c30,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
abbf6e30-d27f-4e40-8824-de839f5228c2,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - Paix, justice et institutions efficaces"
75898c89-a392-48f1-b27f-f5e813b58630,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
ffae0854-d46b-4d3b-92ea-98d280842435,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
64dce61c-5ac0-44c4-b216-d4e79b73f018,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"13 - LUTTE CONTRE LES CHANGEMENTS CLIMATIQUES, en tant que l'investissement dans l'éducation peut contribuer à la réduction des inégalités et à la promotion de bonnes pratiques environnementales."
0b69b9a6-7b94-4d18-abfb-81a287b7da89,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
7d006acc-2dbf-4b47-85a5-a5d9670324d3,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
e1231bbf-8506-4353-9dba-45610fbf0f89,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],5 - Égalité entre les sexes
05e10433-ec31-4e2f-9abf-75f84e90feb6,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
e06e193c-8f57-4bff-b47c-03d4538825eb,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Education de qualité
06354b03-deb2-4bcb-847d-3f992000e3bb,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
3d14c728-a738-45c8-bf6c-78863b698ae8,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"14 - Vie Aquatique, 15 - Vie Terrestre, 16 - Paix, Justice et Institutions Efficaces

La catégorie la plus pertinente est 16 - Paix, Justice et Institutions Efficaces, car le texte s'intègre dans ce domaine en ce qu'il traite de l'amélioration des conditions d'éducation pour les enfants handicapés, ce qui peut être lié à la justice sociale et aux institutions efficaces. Cependant, il y a une connexion implicite avec 14 - Vie Aquatique (si on considère que l'accès à des services spécialisés pour les enfants handicapés est un élément de protection de la vie aquatique) et 15 - Vie Terrestre (car ce domaine aborde des questions relatives aux droits humains, dont les droits d'éducation pour les personnes handicapées sont une composante importante)."
cd1adcfe-342b-4e5b-b412-fcd9147bd87b,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
a8a166cf-7de8-458e-8853-4a7109890e7b,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
d141a767-5fdf-4fd0-8cc9-ca832d0cd4d6,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
9595e428-7990-4a50-b59d-885735d3183e,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],10 - Egalites Reduites
008c275d-2bcc-4a8f-a97f-8d2f4f8e7463,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
53a78bf6-beb6-405d-8836-3f0e3828c8a2,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
3495f77f-06fa-4d32-81f0-4a8646fe8698,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
83fd1b5c-b72c-4921-a0b3-c5661073922b,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],11 - VILLES ET COMMUNAUTES DURABLES
c0a0e070-f640-46d8-8773-49e1d27465b8,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
89181298-b8a2-4f09-88d7-855c6f972850,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
b9b85e1f-6cb2-47df-b3bc-4a9a8a3cf469,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
9f572633-0166-44f5-87e8-f27ca99674d0,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],10 - Inégalités réduites
0a056776-c23f-4796-bbea-78ef0cdad72b,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"10 - Inegalites reduites

La preoccupation exprimée pour les enfants qui sont privés de leur liberte dans des etablissements correctionnels et educatifs sans contrôle juridictionnel initial et periodicque, ainsi que la persistance de violences subies par ces enfants, met en evidence un probleme d'inegalite."
583a033a-4981-4d32-9a04-0f5592341dbd,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
a4a2d0cd-2d39-4d6c-bbf5-1b001826efd5,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
2914d150-be46-4a3e-a1f0-40404e942323,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"17 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
048076cd-642f-4911-b090-bfecbc51a809,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
f9f7d5b3-3bb1-42e3-82d2-a2540b378d04,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
2a439a6a-b8c2-449e-b689-005866710b8c,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
297bb7ce-0b09-414d-9b06-fabae6cedd3b,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
31c62ee1-0ca4-4cee-850b-4063423a3dbc,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],6 - Eau propre et assainissement
b0f50517-3e78-46a4-98d8-808f4560f9ac,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, justice et institutions efficaces"
be188c13-c387-4b38-97d1-f090274b42f8,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
0fbe3b41-4527-4f51-865e-931de3588126,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
13e9695a-6bf8-452a-a49f-90dd11bc8d03,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
369b9b23-1d8d-4250-be22-06301a0ddbc6,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
1801899c-eed6-4a91-91bf-64f6b8f334e7,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],11 - Villes et Communautés Durables
5c67213b-6fd9-497a-bd54-1de58abf561c,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - Paix, Justice et Institutions Efficaces"
dfbb1ff7-3824-41e0-85a8-11b9e56fb4ce,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
e2320dfe-389f-45fe-bb4a-f2b144e63807,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"8 - Travail décent et croissance économique, 10 - Réduction des inégalités, 16 - Paix, Justice et Institutions Efficaces"
ccc63bbc-5c6f-4abd-9b79-2d4753b6c73e,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
3d26b0d5-92f5-4de6-97a5-2948f898ea9e,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"10 - Reduction of Inequalities (Défini par le fait que le texte traite des infractions telles que la vente d'enfants pour des fins de travail forcé ou de transfert d'organes dans un but lucratif, qui contribuent à augmenter les inégalités sociales et économiques)"
56dfc4c3-8c9e-4512-8d60-fbb052286857,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"9 - INDUSTRIE, INNOVATION ET INFRASTRUCTURE"
63eadeb7-b057-478f-aa6b-eb55fde74b44,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, justice et institutions efficaces"
6baabece-d125-47d4-97ae-604dcb98145d,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8 - Travail décents et croissance économique
564a146b-5449-4ce4-ae8e-429f8bddcae0,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, Justice et Institutions Efficientes"
1c5820be-3ed5-4542-a723-199047a0f1f9,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],11 - Villes et Communautés Durables
f8f140fe-0abf-4bdb-bb06-90e6ad56a24b,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],13 - Lutte contre les changements climatiques
7e98ae9f-739d-49b3-bc1f-3b1b610dc269,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"13 - LUTTE CONTRE LES CHANGEMENTS CLIMATIQUES (en ce cas, la lutte contre la traite implique une dimension de protection des droits humains et peut être considérée comme un aspect des changements climatiques en raison du lien entre le phénomène de la traite et les migrations forcées)"
5506f0be-7726-43b9-91f7-c85e21128a8c,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8 - Travail décent et croissance économique
2bce3800-483d-4fbd-8189-4d2349d8b8ab,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8 - Travail décent et croissance économique
a6e6ba33-23a7-4c9f-89e1-4cc847857830,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, Justice et Institutions Efficaces"
f88e3a04-8e3d-44c6-a053-4ec3e7d8a6a9,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, Justice et Institutions Efficientes"
d41a2df2-206e-4b67-a8e9-b17467f7f988,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, Justice et Institutions Efficaces"
307803d7-6079-493d-b76f-6162726d1eee,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"5 - Égalité entre les sexes

Le texte parle d'assurer le respect des droits de l'enfant et de la réalisation du droit à l'éducation, ainsi que de lutter contre le travail des enfants. Bien qu'il y ait un aspect concernant la protection de l'enfance, ce n'est pas essentiellement une question de pauvreté ou de santé, mais plutôt de droits humains et d'égalité, en particulier entre les enfants."
1979e950-d17f-44e1-8d4d-f7c29a647683,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
b84067b3-c6e5-43ff-a530-8d19988f36a1,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],12 - Consommation et production responsables
dec66193-e278-4de5-817f-cdbfb8bcc102,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],12 - Consommation et production responsables
d5f3539f-e5c5-4818-83e2-822622de7dc0,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, Justice et Institutions Efficientes"
125ae8a1-943c-4b67-ac03-c6c91e31d73a,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],"16 - Paix, Justice et Institutions Efficientes"
1d48928b-bf16-4b72-95af-0e8288779d35,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8 - Travail décent et croissance économique
126dc71c-8317-4b03-97bb-aadae63c19b8,fr,['7b1ca49b-6511-4151-b02b-0e3787a5cf46'],8 - Travail décent et croissance économique
