annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - КАЧЕСТВЕННОЕ ОБРАЗОВАНИЕ
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],11 - Устойчивые города и населенные пункты
6996de12-9816-4b90-8dcf-c14a5b93b5a6,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - КАЧЕСТВЕННОЕ ОБРАЗОВАНИЕ
16fa1ffa-b679-49a7-b3a5-681289bb52e4,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Квалификативное образование
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - КАЧЕСТВЕННОЕ ОБРАЗОВАНИЕ
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],13 - Борьба с изменением климата
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Качественное образование
9686043d-0d04-4a56-a484-2c6c5d314e0f,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],10 - Уменьшение неравенства
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],14 - Сохранение морских экосистем
fb1484fa-85f8-4936-8e86-fc26a71af09a,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - КАЧЕСТВЕННОЕ ОБРАЗОВАНИЕ
118a9525-f1dc-4792-9e14-b6e0b51d9c30,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - КАЧЕСТВЕННОЕ ОБРАЗОВАНИЕ
abbf6e30-d27f-4e40-8824-de839f5228c2,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - Мир, правосудие и эффективные институты"
75898c89-a392-48f1-b27f-f5e813b58630,ru,['5de2d533-80be-44d9-8087-4acc3ea1c454'],14 - Сохранение морских экосистем (14)
