annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
6996de12-9816-4b90-8dcf-c14a5b93b5a6,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - Éducation de qualité
16fa1ffa-b679-49a7-b3a5-681289bb52e4,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
9686043d-0d04-4a56-a484-2c6c5d314e0f,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
fb1484fa-85f8-4936-8e86-fc26a71af09a,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - EDUCATION DE QUALITE
118a9525-f1dc-4792-9e14-b6e0b51d9c30,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"4 - ÉDUCATION DE QUALITÉ  
1 - PAS DE PAUVRETÉ  

(Note: L'amélioration des infrastructures scolaires et l'engagement d'enseignants formés sont principalement liées à ""Éducation de qualité"" (ODD 4). Cependant, cela peut également contribuer indirectement au ""PAS DE PAUVRETE"" en permettant un meilleur accès à l'éducation qui peut conduire à des opportunités économiques.)"
abbf6e30-d27f-4e40-8824-de839f5228c2,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
75898c89-a392-48f1-b27f-f5e813b58630,fr,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - ÉDUCATION DE QUALITÉ
