annotationId,language,sdg_categories,predicted
f6693106-7e94-44ba-b26b-ba8cab42d518,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
ea79e9b1-5fa5-49c9-894c-0f6d0242e224,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
6996de12-9816-4b90-8dcf-c14a5b93b5a6,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
16fa1ffa-b679-49a7-b3a5-681289bb52e4,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
a2808c49-7dfe-4fa4-a77e-f3c835cfa3f9,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
3063a58f-c5ea-437a-ab9c-f22cafbd1b7f,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
c8eb8398-fdd5-46ce-9f5e-9dc8a3aabd03,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
9686043d-0d04-4a56-a484-2c6c5d314e0f,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
82eb6a8c-3c37-4ced-b6fd-92078019fdd8,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
fb1484fa-85f8-4936-8e86-fc26a71af09a,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
118a9525-f1dc-4792-9e14-b6e0b51d9c30,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
abbf6e30-d27f-4e40-8824-de839f5228c2,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],16 - سلام، عدالة ومؤسسات قوية
75898c89-a392-48f1-b27f-f5e813b58630,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
ffae0854-d46b-4d3b-92ea-98d280842435,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
64dce61c-5ac0-44c4-b216-d4e79b73f018,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
0b69b9a6-7b94-4d18-abfb-81a287b7da89,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
7d006acc-2dbf-4b47-85a5-a5d9670324d3,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
e1231bbf-8506-4353-9dba-45610fbf0f89,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],10 - الحد من انعدام المساواة
05e10433-ec31-4e2f-9abf-75f84e90feb6,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
e06e193c-8f57-4bff-b47c-03d4538825eb,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
06354b03-deb2-4bcb-847d-3f992000e3bb,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
3d14c728-a738-45c8-bf6c-78863b698ae8,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
cd1adcfe-342b-4e5b-b412-fcd9147bd87b,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
a8a166cf-7de8-458e-8853-4a7109890e7b,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],4 - التعليم الجيد
d141a767-5fdf-4fd0-8cc9-ca832d0cd4d6,ar,['5de2d533-80be-44d9-8087-4acc3ea1c454'],16 - سلام، عدالة ومؤسسات قوية
9595e428-7990-4a50-b59d-885735d3183e,ar,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16 - سلام، عدالة ومؤسسات قوية
008c275d-2bcc-4a8f-a97f-8d2f4f8e7463,ar,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16 - سلام، عدالة ومؤسسات قوية
