annotationId,language,sdg_categories,predicted
a731b8d2-d15e-4432-95b7-56b603affc20,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
afccc7d0-f923-4353-a489-a24cb49994a4,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
3ca70f72-f3c6-4e20-93a8-8462fd479f11,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
9a63494d-a0e9-4a68-b03d-da60d815131a,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
5004bf19-de44-4f00-97ce-da6b2f23c223,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
8b7ec37c-7350-4cb3-8c6e-c8fa0c80cb2f,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
9d769769-2ff7-4c5e-ade7-9bd4c0062ba5,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
85317777-4d4f-4133-a229-be3cb67550a4,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
30a6cccb-83a7-4211-992a-9f6931ee7e1a,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
70c1d61f-5721-423d-beb6-4faa996d2d00,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
1da02fb4-a3aa-4338-9b92-93fad239ddf9,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
da641c9b-6e56-43b4-9862-a3ef90b13f33,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
7c492eed-6b5f-4ce1-a21b-99c6a8187967,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
31e81abb-75d9-46d0-86f6-bda7b54c473b,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
d2536923-c663-45d8-bf79-19c527f56b7f,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
fadc869b-12e0-40d0-a573-b45f68d232e7,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
e1b1dacc-6ce1-4cc6-a99c-38b07e8de453,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
d2b3cdb7-91b3-4c60-92bb-2bd8bad9c775,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
1ae1641e-7400-4d8c-92b4-9cd93003dd06,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
e581c5ca-002b-41ad-8fec-a77571de88cc,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
4c06e920-269b-456f-b205-31b67413daed,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
4170f044-37fd-40f3-b0f8-f90d8db59b5d,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
b953d5a9-a951-4f0e-b646-ea6379df49ba,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
2026a5fb-9c8d-46e2-9315-890df58a21c6,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
32ca80a8-ab57-4d8a-b16d-e71a98ffed8b,fr,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],"16 - PAIX, JUSTICE ET INSTITUTIONS EFFICACES"
e33b5b9d-6879-444a-8b7a-52c2ff687f3e,fr,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - EGALITE ENTRE LES SEXES
42a54278-5822-4093-b29a-38c491c30a7e,fr,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5
efec3aed-5870-40aa-8eac-170c7c70901a,fr,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],16
6c7c74dc-a5fc-4ba8-a515-73e592086009,fr,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],16
