annotationId,language,sdg_categories,predicted
e33b5b9d-6879-444a-8b7a-52c2ff687f3e,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
42a54278-5822-4093-b29a-38c491c30a7e,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
efec3aed-5870-40aa-8eac-170c7c70901a,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
6c7c74dc-a5fc-4ba8-a515-73e592086009,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
a638b6a6-d075-497f-b19e-8596f70b4cd1,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
3b324cb7-fc3c-4fee-abfd-2e6ff432f5df,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
252e9d8f-7546-4e85-869b-bf7d9bee9dbc,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
c0e48aba-16e6-45de-81e1-5ff2bb443aaa,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
c3352d4b-c044-45ee-a83d-ab06368951aa,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
aef38247-29ed-4094-a2d4-cf07d823ef67,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5
65e9b47c-b251-4aca-b0be-34006dadc601,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
f4a67db5-d094-4368-9754-24fe802a510f,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
4f918989-acd4-4252-b964-07a798ffe862,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
598e701e-24da-46ad-a5dc-198634010a3b,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
be2f1f71-4bd3-4acf-b818-50e36a2cfb90,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5
1baaf485-7e2b-475a-ad7d-88ec42fe47a6,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],10 - REDUCED INEQUALITIES
2a224514-ede6-46a8-8c90-cbcbc91a3399,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
2f9c6ee1-83d6-493c-9861-d0ef6be5ff45,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5
262b8b88-1360-4b2f-8e1d-3e71ef11d9c4,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
3790710e-3c96-4686-837a-45e865bef04a,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
d9ff79c4-b60d-4b50-bb80-b83e48be88a2,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],10 - REDUCED INEQUALITIES
f939c7b7-2aaf-42f7-97d2-e430ee165ba9,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
3a1e0500-6007-4299-be4a-eef81bb72ad2,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
d076c567-500f-43db-8b7a-4657e9738e36,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5
e7238238-f453-4f5d-98a1-0dbab57e8a42,en,['067c5449-dd51-417b-b22d-3e4e0d8d9909'],5 - GENDER EQUALITY
85cd979f-ce9a-450e-a5aa-f2e1ce352077,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
f319e43e-ab58-4aed-80ac-f0388c4a0cfa,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
25759a57-f770-4c8f-8233-c96e3b5ba439,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],8 - DECENT WORK AND ECONOMIC GROWTH
1b922359-0f43-48fd-812f-be674256c0dc,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
19cbf28e-d9dd-4cae-9571-6a96b8b8dbd0,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],4
4e6e4e17-341b-4b46-8b5e-d10b0cca2587,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
29131ea1-dc22-4981-a0f7-c2cdf5c0e352,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],15 - LIFE ON LAND
9bc144f0-65ef-4afb-8ee0-12235f392835,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
925de1ae-4944-4ea5-b3b1-aaac166f4149,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
04cc11c0-f455-4ac2-a0ad-f006cd1f4f96,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
9c18d9b9-3768-4310-8dab-38880d4f04d0,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
36b83a37-8854-4927-b37c-57b26d5420f3,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],10 - REDUCED INEQUALITIES
11b75bfd-c63d-4261-9493-5674e8295cf7,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
a63e7ffe-c342-4325-9d2e-7694a7b315e7,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],10 - REDUCED INEQUALITIES
60879d6a-17a1-4d1b-82e9-bca979365fb7,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
15c474ca-a55f-4475-8a68-0eb6ff0f7cd7,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
f2edc593-149a-4042-919d-a18cdf66d525,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
f86d8dff-43fc-40b0-b046-c0832dd5d56e,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
7761849c-ccf7-4fad-9458-ac9b6f70b3ad,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],3 - GOOD HEALTH AND WELL-BEING
b4583ddc-d511-49a7-8ba8-9319134afab5,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],5 - GENDER EQUALITY
a87921c2-32dc-44b4-9f03-31fa74ebe741,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
7ffb22c9-7cf3-463e-9596-b21a9690533c,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],"16 - PEACE, JUSTICE AND STRONG INSTITUTIONS"
5eccdbb0-5467-4162-8fa3-bfa306ed3169,en,['c2bf02ad-370b-444c-b55b-d8c9aa363ad7'],5 - GENDER EQUALITY
a4150ba3-bb3e-45f7-ab6e-db94e70577ca,en,['ed060464-0071-4672-a204-3cce5cc79442'],16
2e8ba976-16f5-4b87-bf5c-fbf99a1dd362,en,['ed060464-0071-4672-a204-3cce5cc79442'],17 - PARTNERSHIPS FOR THE GOALS
0813b303-27f6-4bd5-b624-88919ffd2760,en,['ed060464-0071-4672-a204-3cce5cc79442'],17 - PARTNERSHIPS FOR THE GOALS
