annotationId,language,sdg_categories,predicted
a731b8d2-d15e-4432-95b7-56b603affc20,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
afccc7d0-f923-4353-a489-a24cb49994a4,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],5. 性别平等
3ca70f72-f3c6-4e20-93a8-8462fd479f11,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
9a63494d-a0e9-4a68-b03d-da60d815131a,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
5004bf19-de44-4f00-97ce-da6b2f23c223,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
8b7ec37c-7350-4cb3-8c6e-c8fa0c80cb2f,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
9d769769-2ff7-4c5e-ade7-9bd4c0062ba5,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
85317777-4d4f-4133-a229-be3cb67550a4,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
30a6cccb-83a7-4211-992a-9f6931ee7e1a,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
70c1d61f-5721-423d-beb6-4faa996d2d00,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
1da02fb4-a3aa-4338-9b92-93fad239ddf9,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
da641c9b-6e56-43b4-9862-a3ef90b13f33,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
7c492eed-6b5f-4ce1-a21b-99c6a8187967,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
31e81abb-75d9-46d0-86f6-bda7b54c473b,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
d2536923-c663-45d8-bf79-19c527f56b7f,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16
fadc869b-12e0-40d0-a573-b45f68d232e7,zh,['c6811ae8-76b5-4032-8ac7-2ff776f6692a'],16. 和平、正义与强大机构
