annotationId,language,sdg_categories,predicted
78c43f2c-391f-4c9c-bd54-3136afa36a57,ru,['4b251831-5fe3-4e31-b821-bcb43fe0f821'],16
be25cd00-8138-4352-994c-dd0046d483cc,ru,['e9531e47-ab5c-4d38-812e-085964133156'],16
e11d1df3-c0c5-4574-8dc8-1f4fe48ca26a,ru,"['643ad42e-3c61-406e-b262-a380f2f3896a', '11703516-0e35-4299-b3af-f61268f7010a']","10, 16"
82ccdc7e-217a-4579-84c2-b03c8c982e70,ru,"['2a36dc57-af99-48b9-aff9-05b78c9de169', '067c5449-dd51-417b-b22d-3e4e0d8d9909', '8d5e6b09-f3cd-4a1d-9a60-7a5f5ef61627']","5, 16"
6074f363-c8ae-4f0d-826b-26e751082b5a,ru,['d0b094d0-74ff-4f34-91c6-8632e3946ca2'],16
a6ae6069-2c4a-4934-9154-b41767c228f2,ru,"['7b1ca49b-6511-4151-b02b-0e3787a5cf46', 'd0b094d0-74ff-4f34-91c6-8632e3946ca2']","5, 16"
b6a068c7-d86a-4141-aed7-c35989e0a205,ru,"['c6811ae8-76b5-4032-8ac7-2ff776f6692a', '643ad42e-3c61-406e-b262-a380f2f3896a', 'e7c5117a-35f5-45fe-bc24-e685a303ea0b', '11703516-0e35-4299-b3af-f61268f7010a']","5, 16"
60a088a7-d72d-4768-a901-77d78ae1d0fe,ru,"['7e7ccfa0-5390-4116-86b2-29c3ec70c971', '79a90b7f-17a5-49e1-b559-5cae71742a3c', '643ad42e-3c61-406e-b262-a380f2f3896a']","1, 13"
3ea867c1-c4b0-4b1d-8ab2-d686134ff723,ru,['8d5e6b09-f3cd-4a1d-9a60-7a5f5ef61627'],"4, 5, 16"
7127fee2-9424-465b-898c-2b1217580710,ru,['11703516-0e35-4299-b3af-f61268f7010a'],"10, 16"
64a71716-23f9-45e4-ba84-2eaed1088272,ru,"['5de2d533-80be-44d9-8087-4acc3ea1c454', '19b0d848-67b5-4338-ba6d-59e753f287f1', '01109bdb-12eb-4a13-9fbc-69128998caf1']","4, 5"
949225c0-955e-4ece-92e9-038281b2c349,ru,"['067c5449-dd51-417b-b22d-3e4e0d8d9909', 'd7f75855-7c90-4e85-a74e-49f0a60b2b44']","5, 16"
8ed79963-63d1-4664-abd4-23c4a6b034c5,ru,"['5de2d533-80be-44d9-8087-4acc3ea1c454', 'a9454721-91f4-4686-90c9-618d5ef62ca6', '01109bdb-12eb-4a13-9fbc-69128998caf1']","4, 16"
a56f19bb-90b7-4a0f-a597-b5c5b9f4cec5,ru,"['4b251831-5fe3-4e31-b821-bcb43fe0f821', 'e7c5117a-35f5-45fe-bc24-e685a303ea0b']",16
39fccfae-491b-45e9-8832-aba6f26978a4,ru,"['5de2d533-80be-44d9-8087-4acc3ea1c454', 'a9454721-91f4-4686-90c9-618d5ef62ca6']","4, 16"
999f8707-a22d-4c19-8c20-cc0c251dd3e0,ru,"['7b1ca49b-6511-4151-b02b-0e3787a5cf46', '963a1ce5-afd0-493c-9b2f-42ad0b525f26']","8, 10, 16"
65c79abc-452b-44c4-bcc7-b99ecf0c7737,ru,"['49ceefd1-2e30-4bfe-9f5b-0c0c274873cd', 'c6811ae8-76b5-4032-8ac7-2ff776f6692a']",16
169cef49-a057-4894-93f4-4abd74156381,ru,"['d6c87dde-7d52-4f5c-895d-15779bc7cc27', 'c2bf02ad-370b-444c-b55b-d8c9aa363ad7']",3
4ad4e62c-bab4-4585-b1a6-2f949f0d8e92,ru,"['e37f2d31-a240-40d7-96ed-4dd35dc4a608', 'e7c5117a-35f5-45fe-bc24-e685a303ea0b', '11703516-0e35-4299-b3af-f61268f7010a']","3, 10, 16"
5b8a8366-8c2d-4f6b-b547-5c4cef981030,ru,"['c6811ae8-76b5-4032-8ac7-2ff776f6692a', '067c5449-dd51-417b-b22d-3e4e0d8d9909', '8d5e6b09-f3cd-4a1d-9a60-7a5f5ef61627']","5, 16"
9d772705-1e76-4bfa-97ec-88adc8ab6fcb,ru,"['7b1ca49b-6511-4151-b02b-0e3787a5cf46', 'd0b094d0-74ff-4f34-91c6-8632e3946ca2']","5, 16"
4cb91cc4-0a84-4e66-a19d-18d2001272bf,ru,"['49ceefd1-2e30-4bfe-9f5b-0c0c274873cd', 'c6811ae8-76b5-4032-8ac7-2ff776f6692a', '4b251831-5fe3-4e31-b821-bcb43fe0f821']",16
4af3c11f-1c91-40b3-9f29-bde3419cbef5,ru,"['7b1ca49b-6511-4151-b02b-0e3787a5cf46', '963a1ce5-afd0-493c-9b2f-42ad0b525f26']","10, 16"
fd7c3f98-9a85-42eb-bd17-78134b122038,ru,"['2a36dc57-af99-48b9-aff9-05b78c9de169', '067c5449-dd51-417b-b22d-3e4e0d8d9909']","5, 16"
1f49b310-23d5-4a04-9e7f-b507cfb3cf38,ru,"['8562d0de-71eb-4869-9efb-142224f9d961', '643ad42e-3c61-406e-b262-a380f2f3896a', '11703516-0e35-4299-b3af-f61268f7010a']","5, 10, 16"
5c1de1f6-79ba-4cf5-9f7a-fbe10f66eedb,ru,"['067c5449-dd51-417b-b22d-3e4e0d8d9909', '983a07e9-46d1-4386-a99b-70da66c69956', '8d5e6b09-f3cd-4a1d-9a60-7a5f5ef61627', '48f53789-ea74-4142-a0ed-8e7616beb6ee', 'c98996c4-ae8c-4432-83e6-93e56f86431e', 'c2bf02ad-370b-444c-b55b-d8c9aa363ad7']","3, 5"
baa0af03-f870-4354-a636-08a5c3c868e2,ru,"['c6811ae8-76b5-4032-8ac7-2ff776f6692a', '4b251831-5fe3-4e31-b821-bcb43fe0f821', 'e7c5117a-35f5-45fe-bc24-e685a303ea0b']","16, 17"
3f9d7ba5-d0a7-4cf9-bf36-3b66e526512c,ru,"['e37f2d31-a240-40d7-96ed-4dd35dc4a608', 'b0b9f1b3-73c6-4c1a-973f-c3a5ba9bbcb2', '11703516-0e35-4299-b3af-f61268f7010a']","5, 10, 16"
0b6103aa-f1a7-44bd-ba26-a0c52a441271,ru,"['e37f2d31-a240-40d7-96ed-4dd35dc4a608', 'e7c5117a-35f5-45fe-bc24-e685a303ea0b', '11703516-0e35-4299-b3af-f61268f7010a']","10, 16"
